Logged started on,19/07/2020 22:11:08
Feature,Gyroscope
Nodes,AM1V310 @395930

Date,HostTimestamp,NodeName,NodeTimestamp,RawData,X (dps),Y (dps),Z (dps)
19/07/2020 22:26:47.217,938671,AM1V310 @395930,57294,B1FE8800F4FE,-33.5,13.6,-26.8
19/07/2020 22:26:47.247,938701,AM1V310 @395930,57301,62FE1FFFB0FE,-41.4,-22.5,-33.6
19/07/2020 22:26:47.307,938761,AM1V310 @395930,57307,2AFFFC0086FE,-21.4,25.2,-37.8
19/07/2020 22:26:47.397,938851,AM1V310 @395930,57313,59FE6D0320FE,-42.3,87.7,-48
19/07/2020 22:26:47.419,938872,AM1V310 @395930,57319,5D0076FB4D00,9.3,-116.2,7.7
19/07/2020 22:26:47.459,938913,AM1V310 @395930,57326,ECFE0D011B01,-27.6,26.9,28.3
19/07/2020 22:26:47.517,938970,AM1V310 @395930,57332,46004A000300,7,7.4,0.3
19/07/2020 22:26:47.546,939000,AM1V310 @395930,57338,B1006C01C0FD,17.7,36.4,-57.6
19/07/2020 22:26:47.607,939061,AM1V310 @395930,57344,DDFF18FF4AFE,-3.5,-23.2,-43.8
19/07/2020 22:26:47.667,939121,AM1V310 @395930,57351,B3002BFF96FF,17.9,-21.3,-10.6
19/07/2020 22:26:47.697,939150,AM1V310 @395930,57357,D4017B00D1FF,46.8,12.3,-4.7
19/07/2020 22:26:47.757,939210,AM1V310 @395930,57363,6F0090FEDCFF,11.1,-36.8,-3.6
19/07/2020 22:26:47.817,939271,AM1V310 @395930,57369,A9FDB5FE34FD,-59.9,-33.1,-71.6
19/07/2020 22:26:47.846,939300,AM1V310 @395930,57376,E6FE29FF25FE,-28.2,-21.5,-47.5
19/07/2020 22:26:47.907,939360,AM1V310 @395930,57382,8FFFCFFEFAFF,-11.3,-30.5,-0.6
19/07/2020 22:26:47.967,939421,AM1V310 @395930,57388,3201F5FF2F00,30.6,-1.1,4.7
19/07/2020 22:26:48.027,939481,AM1V310 @395930,57394,9600FCFF9500,15,-0.4,14.9
19/07/2020 22:26:48.056,939509,AM1V310 @395930,57401,B401E7FFA800,43.6,-2.5,16.8
19/07/2020 22:26:48.117,939571,AM1V310 @395930,57407,8600EFFF0C01,13.4,-1.7,26.8
19/07/2020 22:26:48.147,939600,AM1V310 @395930,57413,C8FFE2015A00,-5.6,48.2,9
19/07/2020 22:26:48.207,939660,AM1V310 @395930,57419,F50041FE0EFF,24.5,-44.7,-24.2
19/07/2020 22:26:48.267,939721,AM1V310 @395930,57426,7DFF460075FC,-13.1,7,-90.7
19/07/2020 22:26:48.297,939750,AM1V310 @395930,57432,610047FFF9FC,9.7,-18.5,-77.5
19/07/2020 22:26:48.387,939841,AM1V310 @395930,57438,8200C6FF29FF,13,-5.8,-21.5
