sr_no,HostTimestamp,NodeTimestamp_x,X_mg,Y_mg,Z_mg,X_mGa,Y_mGa,Z_mGa,X_dps,Y_dps,Z_dps,move_type
38,2370869,308159,94,-992,121,234,-261,-382,3.9,-0.7,-3,D
39,2370899,308165,70,-990,207,232,-259,-385,3.6,5.3,6.1,D
40,2370958,308171,91,-1030,194,238,-255,-387,-0.9,0,1.8,D
41,2370988,308178,91,-1003,222,225,-249,-387,-4.2,0.1,3.9,D
42,2371049,308184,15,-1001,187,232,-250,-391,-3.4,1.6,3.5,D
43,2371108,308190,72,-983,210,232,-255,-387,0.8,-1.5,-1.8,D
44,2371138,308196,39,-976,184,232,-249,-379,-3.3,2.7,4.6,D
0,307980,39448,200,-213,914,-256,-480,-40,-2.1,10,5.6,D
1,307995,39455,185,-210,932,-255,-480,-39,-0.7,14.2,4.4,D
2,308052,39461,169,-206,958,-249,-478,-46,4.5,15.1,6.8,D
3,308113,39467,171,-206,1043,-253,-478,-58,6.8,16.1,6.9,D
4,308141,39473,150,-212,1044,-243,-480,-55,5.1,11.9,8.3,D
5,308204,39480,146,-207,1054,-255,-466,-64,-2.1,13.1,10.1,D
6,308262,39486,120,-222,1013,-237,-463,-64,-4.7,8.6,12.8,D
7,308292,39492,120,-222,1013,-232,-469,-69,-4.7,8.6,12.8,D
8,308352,39498,88,-241,989,-229,-469,-70,-2.3,3.2,9.8,D
9,308413,39505,68,-255,986,-229,-468,-76,-2.3,3.2,9.8,D
10,308442,39511,58,-272,894,-214,-472,-73,-11.4,11.7,12.2,D
11,308503,39517,50,-275,938,-210,-468,-72,1.8,3.2,8.6,D
12,308563,39523,62,-262,950,-214,-462,-84,4.2,8.1,5.6,D
13,308592,39530,26,-260,1019,-214,-454,-76,6.9,10,5.3,D
14,308653,39536,68,-243,1034,-211,-456,-81,11.2,9.8,3.5,D
15,308713,39542,76,-236,1089,-217,-456,-85,10.7,7.7,-2.8,D
16,308742,39548,42,-219,1077,-228,-460,-82,6.7,9.4,-1.7,D
17,308804,39555,56,-198,1069,-226,-454,-91,10.5,-4.5,-1.9,D
18,308863,39561,72,-194,1081,-226,-447,-85,-0.7,-0.7,1.6,D
19,308893,39567,44,-209,973,-219,-459,-85,-6.9,1.4,3.9,D
20,308953,39573,39,-220,980,-229,-454,-84,-3.4,-0.9,4.4,D
21,309014,39580,20,-235,947,-222,-451,-93,-3,2.1,3.3,D
22,309042,39586,12,-238,1007,-223,-456,-85,2.3,-0.2,0.9,D
23,309103,39592,27,-228,976,-229,-462,-82,0.6,1.4,-0.2,D
24,309163,39598,45,-223,1007,-223,-462,-81,1.4,1.2,-0.4,D
25,309192,39605,43,-220,973,-226,-453,-90,0,3.2,0,D
26,309253,39611,38,-218,998,-231,-453,-88,1.7,3,1.1,D
27,309313,39617,33,-216,982,-229,-454,-85,0.7,3.7,0.8,D
28,309342,39623,25,-216,1009,-226,-445,-90,0.6,2.4,1.4,D
29,309403,39630,17,-219,1008,-223,-463,-87,0,1.7,1.3,D
30,309464,39636,20,-214,1022,-234,-442,-88,0,0.4,1.4,D
31,309513,39642,16,-218,977,-222,-453,-91,-3.6,0.4,2.2,D
32,309553,39648,19,-216,987,-222,-451,-87,-1.1,-1.4,2.3,D
33,309613,39655,21,-221,997,-223,-441,-94,-2.5,0.9,3.2,D
34,309642,39661,22,-235,975,-225,-447,-91,-2.8,0.7,2.5,D
35,309704,39667,18,-237,985,-211,-453,-93,-0.7,0.7,1.6,D
36,309764,39673,19,-237,991,-216,-442,-93,0.6,-0.1,1.2,D
37,309792,39680,8,-229,986,-229,-444,-82,0,-0.1,1.4,D
38,309853,39686,25,-217,1014,-237,-444,-84,1.7,-2.5,1.6,D
39,309913,39692,26,-218,994,-220,-448,-84,-2.7,-1.3,2.4,D
40,309942,39698,33,-218,993,-220,-451,-90,-1.8,-1.6,3.2,D
41,310003,39705,31,-231,958,-219,-450,-84,-1,-0.4,3.1,D
42,310063,39711,13,-239,985,-217,-441,-90,-0.2,0.7,3.2,D
43,310092,39717,11,-237,979,-223,-445,-91,1.8,-1.4,1.9,D
44,310156,39723,5,-234,1005,-225,-454,-96,-0.1,-0.3,1.7,D
45,310212,39730,19,-232,988,-231,-448,-94,0.4,-0.7,1.1,D
46,310299,39736,19,-232,988,-228,-454,-91,0.4,-0.7,1.1,D
47,310322,39742,22,-225,993,-228,-447,-87,1.1,0.6,1.7,D
48,310420,39748,23,-228,981,-228,-450,-90,1.3,-0.5,1.9,D
49,310420,39755,23,-228,981,-222,-450,-82,1.3,-0.5,1.9,D
50,310455,39761,7,-231,978,-222,-450,-85,0.6,-0.1,2.5,D
51,310513,39767,8,-229,976,-237,-451,-87,4.2,-4.7,1.6,D
52,310542,39773,-12,-235,991,-219,-447,-91,-1.6,2.3,2.3,D
53,310603,39780,5,-227,935,-232,-456,-88,5.6,-4.9,-2.1,D
54,310663,39786,5,-227,935,-234,-448,-73,17.4,-15.4,-4,D
55,310692,39792,62,-215,1045,-231,-456,-81,-1.1,1.3,-0.5,D
56,310753,39798,55,-210,1003,-234,-457,-76,-1.8,-2.3,-0.5,D
57,310812,39805,45,-208,964,-240,-457,-81,-1.8,-2.3,-0.5,D
1,767690,107740,6,-995,-38,288,-213,-249,7.2,7.2,16.3,L
2,767720,107746,23,-1036,93,274,-210,-247,10.5,14.5,15.2,L
3,767780,107753,-103,-1010,9,277,-195,-249,13.7,9.6,11.2,L
4,767840,107759,8,-990,45,271,-196,-249,4.5,4.4,1,L
5,767870,107765,-100,-997,9,277,-201,-252,-2.5,-1.5,-3.1,L
6,767930,107771,-120,-1002,31,262,-198,-262,-0.2,5.9,-8.1,L
7,767991,107778,-14,-983,33,268,-202,-255,-8.8,-17,-2.7,L
8,768020,107784,-38,-1008,35,271,-207,-262,11.5,4.1,-6.1,L
9,768081,107790,55,-971,1,273,-199,-264,1.8,-20,-15.2,L
10,768140,107796,55,-971,1,274,-213,-264,0.4,-3.7,2.3,L
11,768170,107803,-5,-999,55,265,-213,-271,5.3,-7,-5.4,L
12,768231,107809,-19,-1010,100,268,-210,-273,-8.1,8.1,9.7,L
13,768290,107815,-6,-988,19,270,-202,-267,-13.4,-3.7,2.6,L
14,768320,107821,-106,-1027,60,273,-198,-267,-5.5,-1.8,7.4,L
15,768380,107828,28,-1001,65,267,-202,-261,-8.2,7.5,7.1,L
16,768440,107834,-112,-1016,35,270,-192,-256,-6.9,-9.2,8.6,L
17,768470,107840,-24,-982,71,270,-196,-268,-12.7,-3.3,4,L
18,768530,107846,-59,-986,39,270,-198,-264,-4.1,-5.4,3,L
19,768591,107853,-95,-982,-3,262,-193,-261,-4.8,-7.5,-0.4,L
20,768620,107859,-35,-978,35,270,-198,-268,-3.7,-6.8,1,L
21,768681,107865,-61,-958,-24,268,-196,-265,1.9,-13.5,-6.6,L
22,768770,107871,-65,-1005,48,270,-199,-271,-1.6,-9.1,6.9,L
23,768796,107878,-86,-1003,55,273,-193,-280,-2.8,-1.8,2.8,L
24,768830,107884,-38,-996,50,264,-208,-277,-12.6,-4.4,3.5,L
25,768890,107890,-135,-1023,27,271,-199,-271,-10.9,9.1,1.8,L
26,768920,107896,-85,-1009,40,274,-201,-270,-13.5,2.3,-3.8,L
27,768980,107903,-69,-1010,28,276,-211,-261,-13.7,1.4,-10.3,L
28,769040,107909,7,-962,4,274,-204,-267,-9.1,-11.8,-10.2,L
29,769070,107915,-40,-974,1,273,-208,-271,-4.2,1.3,-0.8,L
30,769130,107921,-61,-999,6,273,-204,-271,-9.3,3,-4.1,L
31,769190,107928,-70,-1001,-32,277,-211,-258,-2.3,0.4,-13.9,L
32,769220,107934,3,-985,-20,283,-217,-259,-6.3,1.8,-10.2,L
33,769280,107940,12,-1016,18,289,-210,-261,2.5,3.1,-3.8,L
34,769340,107946,12,-1016,18,277,-220,-267,1.4,-5.2,-3.3,L
35,769370,107953,1,-1001,-29,283,-216,-273,1.4,-4.9,-0.2,L
36,769430,107959,-50,-1017,16,276,-210,-267,-2.6,-3.7,9,L
37,769490,107965,-18,-1021,33,283,-223,-276,3.3,-6.2,6.5,L
38,769520,107971,-84,-1009,-38,292,-217,-271,-5.8,0.1,6.5,L
39,769580,107978,26,-986,19,282,-217,-262,1.8,-3.9,-0.6,L
40,769640,107984,-50,-997,-7,276,-214,-277,-0.2,-6.5,4.4,L
41,769670,107990,-22,-1003,24,277,-220,-273,1.8,-6.3,-1,L
42,769730,107996,-41,-1011,28,292,-220,-282,3.2,-6.3,-0.2,L
43,769790,108003,-33,-1009,1,283,-219,-279,3.7,-2.8,-8.8,L
44,769820,108009,-24,-990,19,282,-220,-280,-6.1,5.8,0.6,L
45,769880,108015,-59,-1006,18,280,-223,-288,2.9,5.1,-7.7,L
46,769940,108021,27,-991,42,283,-223,-283,-0.7,4.5,-4.1,L
47,769970,108028,10,-979,-15,286,-223,-283,-1.3,2.2,2.6,L
48,770030,108034,-11,-1021,32,286,-226,-283,5.6,-6.3,5.8,L
49,770091,108040,-39,-1023,25,288,-225,-294,-1.4,-4,16.1,L
50,770120,108046,-10,-1028,69,277,-225,-294,4.9,-4.9,3.3,L
51,770180,108053,-76,-1025,50,285,-216,-298,-4.6,-4.6,6.8,L
52,770241,108059,-48,-1013,55,277,-216,-297,-3,0,5.6,L
53,770270,108065,-80,-991,3,280,-216,-294,-7.1,-9.2,3.5,L
54,770361,108071,-56,-981,0,276,-223,-297,-2.6,-1.9,0,L
55,770392,108078,-118,-1000,0,277,-223,-291,-3,-3.7,0.6,L
56,770420,108084,-71,-988,-5,285,-220,-294,-0.4,-1.6,-0.8,L
57,770480,108090,-28,-1002,67,291,-225,-300,5.6,-3.6,-1.4,L
58,770540,108096,-36,-1006,79,279,-225,-307,-2.5,-6.6,2.2,L
59,770570,108103,-87,-1003,16,283,-223,-304,-4.6,-4.2,1.8,L
60,770630,108109,-42,-1004,60,277,-229,-300,-5.2,-8.9,-0.9,L
61,770690,108115,-91,-998,55,277,-226,-303,-6.9,-3.9,1.6,L
62,770720,108121,-49,-978,37,282,-238,-298,-6.7,-5.9,1.6,L
63,770780,108128,-102,-993,-1,285,-232,-300,-2.1,-4.7,0.3,L
